number;kind_of_literature;author;text;title_of_excerpt;start_of_excerpt;end_of_excerpt;year;chrestomathy;form;level_of_education;place_of_edition;notes;biblio_id
888;поэзия;Глинка Ф.Н.;Благодатный гость;;;;1829;Золотов 2 часть;;;Москва;;Золотов 2 часть__1829
889;поэзия;Глинка Ф.Н.;Блаженство праведного;;;;1829;Золотов 2 часть;;;Москва;;Золотов 2 часть__1829
890;поэзия;Глинка Ф.Н.;Блудный сын;;;;1829;Золотов 2 часть;;;Москва;;Золотов 2 часть__1829
891;поэзия;Глинка Ф.Н.;Богдан Хмельницкий;;;;1830;Чашников;;Училища, гимназии Прибалтики;СПб;;Чашников__1830
892;поэзия;Глинка Ф.Н.;Вихрь и Зефир;;;;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
893;поэзия;Глинка Ф.Н.;Всемогущество;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
894;поэзия;Глинка Ф.Н.;Всемогущество;;;;1860;Шафранов, Николич;;;Ревель;;Шафранов, Николич__1860
895;поэзия;Глинка Ф.Н.;Всемогущество;;;;1846;Святной Курс Первый;;;Ревель;;Святной Курс Первый__1846
896;поэзия;Глинка Ф.Н.;Всемогущество;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
897;поэзия;Глинка Ф.Н.;Всемогущество;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
898;поэзия;Глинка Ф.Н.;Гимн Богу;;;;1829;Золотов 2 часть;;;Москва;;Золотов 2 часть__1829
899;поэзия;Глинка Ф.Н.;Глас;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
900;поэзия;Глинка Ф.Н.;Глас;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
901;поэзия;Глинка Ф.Н.;Глас;;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
902;поэзия;Глинка Ф.Н.;Глас;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
903;поэзия;Глинка Ф.Н.;Глас;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
904;поэзия;Глинка Ф.Н.;Глас к Господу;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
905;поэзия;Глинка Ф.Н.;Глас к Господу;;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
906;поэзия;Глинка Ф.Н.;Глас к Господу;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
907;поэзия;Глинка Ф.Н.;Глас к Господу;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
908;поэзия;Глинка Ф.Н.;Горе и благодать;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
909;поэзия;Глинка Ф.Н.;Горе и благодать;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
910;поэзия;Глинка Ф.Н.;Горе и благодать;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
911;поэзия;Глинка Ф.Н.;Гроза;;;;1844;Галахов КнДлПервЧТ;;;Москва;;Галахов КнДлПервЧТ__1844
912;поэзия;Глинка Ф.Н.;Заветная книга;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
913;поэзия;Глинка Ф.Н.;Земная грусть;;;;1829;Золотов 2 часть;;;Москва;;Золотов 2 часть__1829
914;поэзия;Глинка Ф.Н.;Земная грусть;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
915;поэзия;Глинка Ф.Н.;Земная грусть;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
916;поэзия;Глинка Ф.Н.;Земная грусть;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
917;поэзия;Глинка Ф.Н.;Из очерков Бородинского сражения;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
918;поэзия;Глинка Ф.Н.;Искание Бога;;;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
919;поэзия;Глинка Ф.Н.;Искание Бога;;;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
920;поэзия;Глинка Ф.Н.;Искание Бога;;;;1883;Нигголь;;Гимназии;Дерпт;;Нигголь__1883
921;поэзия;Глинка Ф.Н.;Искание Бога;;;;1912;Галахов РХ 35изд 2том;;СУЗ;Москва;;Галахов РХ 35изд 2том__1912
922;поэзия;Глинка Ф.Н.;Искание Бога;;;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
923;поэзия;Глинка Ф.Н.;Искание Бога;;;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
924;поэзия;Глинка Ф.Н.;Искания Бога;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
925;поэзия;Глинка Ф.Н.;Карелия;Карелия (отрывок);;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
926;поэзия;Глинка Ф.Н.;Картина залива;;;;1838;Рклицкий Ч1 Проза;3-4 кл.;;Варшава;;Рклицкий Ч1 Проза__1838
927;поэзия;Глинка Ф.Н.;Кутузов;;;;1846;Святной Курс Первый;;;Ревель;;Святной Курс Первый__1846
928;поэзия;Глинка Ф.Н.;Лукианова Ферсалия;Лукианова Ферсалия (отрывок);;;1829;Золотов 2 часть;;;Москва;;Золотов 2 часть__1829
929;поэзия;Глинка Ф.Н.;Москва;;;;1860;Русская лира Нов поэты;;;СПб;;Русская лира Нов поэты__1860
930;поэзия;Глинка Ф.Н.;Москва;;;;1861;Паульсон;;Народные училища;СПб;;Паульсон__1861
931;поэзия;Глинка Ф.Н.;Москва;;;;1861;Хрест для нар чтения Вып1.;;;Москва;;Хрест для нар чтения Вып1.__1861
932;поэзия;Глинка Ф.Н.;Москва;;;;1864;Новаковский Хрест 3 часть;;;СПб;;Новаковский Хрест 3 часть__1864
933;поэзия;Глинка Ф.Н.;Москва;;;;1878;Линдфорс;;;Гельсингфорс;;Линдфорс__1878
934;поэзия;Глинка Ф.Н.;Москва;;;;1895;Иманаев;;Медресе, Школы;Казань;;Иманаев__1895
935;поэзия;Глинка Ф.Н.;Москва;;;;1903;Воскресенский Хрест 6 изд;;Начальные училища, СУЗ;СПб;;Воскресенский Хрест 6 изд__1903
936;поэзия;Глинка Ф.Н.;Москва;;;;1846;Пенинский;Нижние классы гимназии;Уездные училища, гимназии;СПб;;Пенинский__1846
937;поэзия;Глинка Ф.Н.;Москва;;;;1869;Хрест Лицея Цесаревича;1-2 кл.;;Москва;;Хрест Лицея Цесаревича__1869
938;поэзия;Глинка Ф.Н.;Москва;;;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
939;поэзия;Глинка Ф.Н.;Москва;;;;1903;Овчинников Рус Хрест для окраин;2-3 кл.;Начальные училища;Рига;;Овчинников Рус Хрест для окраин__1903
940;поэзия;Глинка Ф.Н.;Москва;;;;1904;Шафров Хрест 3 часть;Пятый отдел;Городские училища;Москва;;Шафров Хрест 3 часть__1904
941;поэзия;Глинка Ф.Н.;Москва;;;;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
942;поэзия;Глинка Ф.Н.;Москва;;;;1861;Ушинский;;;СПб;записано в строку;Ушинский__1861
943;поэзия;Глинка Ф.Н.;Москва;;;;1882;Голотузов;;Для перевода на немецкий;Лейпциг;записано в строку;Голотузов__1882
