;author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
190;Цветаева М.;И бродим с тобой по церквам;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;127;;
191;Цветаева М.;И как под землею трава;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;128;;
192;Цветаева М.;Когда-нибудь, прелестное созданье;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;129;;
193;Цветаева М.;Отнимите жемчуг – останутся слезы;Современные записки;Париж;журнал;;05.12.1921;стихи;полный текст;;130;;
194;Гумилев Н.С.;Огненный столп;Петрополис;Берлин;издательство;;1922;стихи;полный текст;;;;
195;Мандельштам О.;Tristia;Петрополис;Берлин;издательство;;1922;стихи;полный текст;;;;
196;Кузмин М.;Параболы;Петрополис;Берлин;издательство;;1923;стихи;полный текст;;;;
197;Радлова А.Д.;Богородицын корабль ;Петрополис;Берлин;издательство;;1923;драма;полный текст;;;;
198;Гумилев Н.С.;К синей звезде ;Петрополис;Берлин;издательство;;1923;стихи;полный текст;;;;
199;Гумилев Н.С.;Французские народные песни;Петрополис;Берлин;издательство;;1923;стихи;полный текст;;;;
200;Кузмин М.;Плавающие путешествующие;Петрополис;Берлин;издательство;;1923;проза;полный текст;;;;
201;Никитин Н.;Полет;Петрополис;Берлин;издательство;;1923;проза;полный текст;;;;
202;Никитин Н.;Ночной пожар;Петрополис;Берлин;издательство;;1924;проза;полный текст;;;;
203;Калинников И.Ф.;Мощи;Петрополис;Берлин;издательство;;1926;проза;полный текст;;;;
204;Андреев В.М.;Преступления Аквилонова;Петрополис;Берлин;издательство;;1927;проза;полный текст;;;;
205;Четвериков Б.Д.;Бунт инженера Каринского;Петрополис;Берлин;издательство;;1928;проза;полный текст;;;;
206;Федин К.А.;Братья;Петрополис;Берлин;издательство;;1928;проза;полный текст;;;;
207;Толстой А.Н.;Восемнадцатый год;Петрополис;Берлин;издательство;;1928;проза;полный текст;;;;
208;Мариенгоф А.;Циники;Петрополис;Берлин;издательство;;1928;проза;полный текст;;;;
209;Пильняк Б.А.;Штосс в жизнь;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
210;Мариенгоф А.;Роман без вранья ;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
211;Никитин Н.;Шпион;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
212;Зощенко М.М.;Семейный купорос;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;Пушка;1928
213;"Пильняк Б.А.
";Красное дерево;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
214;Савич О.;Воображаемый собеседник ;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
215;Сытин А.П.;Пастух времен;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
216;Тынянов Ю.;Смерть Вазир-Мухтара;Петрополис;Берлин;издательство;;1929;проза;полный текст;;;;
217;Зощенко М.М.;Воспоминания о Мишеле Синягине;Петрополис;Берлин;издательство;;1930;проза;полный текст;;;Новый мир;1930
218;Мариенгоф А.;Бритый человек;Петрополис;Берлин;издательство;;1930;проза;полный текст;;;;
219;Толстой А.Н.;Петр 1;Петрополис;Берлин;издательство;;1930;проза;полный текст;;;;
220;Фибих Д.;Угар;Петрополис;Берлин;издательство;;1930;проза;полный текст;;;;
221;Зощенко М.М.;Воспоминания о Мишеле Синягине;Петрополис;Берлин;издательство;;1931;проза;полный текст;;;Новый мир;1930
222;Савич О.;Мы и они: Франция;Петрополис;Берлин;издательство;;1931;проза;полный текст;;;;
223;Розенфельд С.Е.;Гибель;Петрополис;Берлин;издательство;;1931;проза;полный текст;;;;
224;Гумилев Н.С.;Гондла;Петрополис;Берлин;издательство;;1936;драма;полный текст;;;;
225;Гумилев Н.С.;Чужое небо;Петрополис;Берлин;издательство;;1936;стихи;полный текст;;;;
226;Леонов Л.;Соть;Книга и сцена;Берлин;издательство;;193?;проза;полный текст;;;;
227;Катаев В.;Отец;Книга и сцена;Берлин;издательство;;1930;проза;полный текст;;;;
228;Катаев В.;Растратчики;Книга и сцена;Берлин;издательство;;1930;проза;полный текст;;;;
229;Ильф И. И Петров Е.;Золотой зеленок;Книга и сцена;Берлин;издательство;;1931;проза;полный текст;;;;
230;Олеша Ю.;Список благодеяний;Книга и сцена;Берлин;издательство;;1931;проза;полный текст;;;;
231;Толстой А.Н.;Черное золото;Книга и сцена;Берлин;издательство;;1931;проза;полный текст;;;;
232;Катаев В.;Миллион терзаний;Книга и сцена;Берлин;издательство;;1931;проза;полный текст;;;;
233;Слонимский М.;Фома Клешнев;Книга и сцена;Берлин;издательство;;1931;проза;полный текст;;;;
234;Павлов В.;Подхалимы;Возрождение;Париж;газета;№952;10.01.1928;проза;полный текст;;5;Крокодил;
