number;author;gender;text;title_of_textbook;kind_of_literature;year;genre;whole;retelling;start_of_textbook;compiler;place_of_edition;year_of_edition;level_of_education;kind_of_book;part_of_edition;notes;biblio_id
2154;Толстой Л.Н.;м;Старик и яблони;undefined;проза;1875;рассказ;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2155;Толстой Л.Н.;м;Садовник и сыновья;undefined;проза;1875;рассказ;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2156;К.Р. (Константин Романов);м;Я нарву вам цветов;undefined;поэзия;1884;стихотворение;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2157;Соколов-Микитов И.С.;м;Красное лето;На пасеке;проза;1921;рассказ;нет;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2158;Черный А.;м;В огороде;undefined;поэзия;1920;стихотворение;да;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2159;Даль В.И.;м;Чужой разум;undefined;проза;1862;рассказ;нет;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2160;Никитин И.С.;м;Гнездо ласточки;На мельнице;поэзия;1856;стихотворение;да;нет;Кипит вода, ревет ручьем,;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2161;фольклор;undefined;Журавль;undefined;поэзия;фольклор;песня;нет;нет;undefined;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2162;Бальмонт К.Д.;м;Осень;undefined;поэзия;1905;стихотворение;да;нет;Поспевает брусника,;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
2163;Фет А.А.;м;Осень;undefined;поэзия;1854;стихотворение;да;нет;Ластчоки пропали А вчера с зарей;Е.М.Тихоницкий,Е.А.Андреева,Т.М.Максимович;Рига;1938;начальные классы;книга для чтения;II;undefined;Тихоницкий_Е.А.Андреева_Максимович.Ч.2_1938
