;author_in_publication;text;name;city;type;issue ;year_publ_in_emigration;date_publ_in_emigration;description ;peculiarity;name_part;pages;year_first_in_russia;date_publ_in_russia;name_in_russia;issue_russia;source 
;Цветаева М.;Идите, старьтесь над считаньем петель;Современные записки;Париж;журнал;;1921;05.10;стихи ;полный текст;;96;;;;;
;Цветаева М.;Але;Современные записки;Париж;журнал;;1921;05.10;стихи ;полный текст;;97;;;;;
;Цветаева М.;«Марина, спасибо за мир!»;Современные записки;Париж;журнал;;1921;05.10;стихи ;полный текст;;97;;;;;
;Цветаева М.;Я не танцую, – без моей вины;Современные записки;Париж;журнал;;1921;05.10;стихи ;полный текст;;97;;;;;
;Цветаева М.;Развела тебе в стакане;Современные записки;Париж;журнал;;1921;05.10;стихи ;полный текст;;98;;;;;
;Цветаева М.;Я – страница твоему перу;Современные записки;Париж;журнал;;1921;05.10;стихи ;полный текст;;98;;;;;
;Цветаева М.;Бабушка;Современные записки;Париж;журнал;;1921;05.10;стихи ;полный текст;;99—102;;;;;
;Цветаева М.;Поступь легкая моя;Современные записки;Париж;журнал;;1921;05.10;стихи ;полный текст;;103;;;;;
;Цветаева М.;Как правая и левая рука;Современные записки;Париж;журнал;;1921;05.12;стихи ;полный текст;;120;;;;;
;Цветаева М.;Солнце – одно, а шагает по всем городам;Современные записки;Париж;журнал;;1921;05.12;стихи ;полный текст;;121;;;;;
;Цветаева М.;Чтобы помнил не часок, не годок;Современные записки;Париж;журнал;;1921;05.12;стихи ;полный текст;;122;;;;;
;Цветаева М.;Нà смех и нà ало;Современные записки;Париж;журнал;;1921;05.12;стихи ;полный текст;;123;;;;;
